wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;235;0;1;0;t00
dolnoœl¹skie;boles³awiecki;4221;18;1048;2;t0201
dolnoœl¹skie;dzier¿oniowski;2879;101;449;93;t0202
dolnoœl¹skie;g³ogowski;2732;143;529;77;t0203
dolnoœl¹skie;górowski;473;0;0;0;t0204
dolnoœl¹skie;jaworski;1660;18;358;0;t0205
dolnoœl¹skie;jeleniogórski;1804;62;268;2;t0206
dolnoœl¹skie;kamiennogórski;1445;0;258;0;t0207
dolnoœl¹skie;k³odzki;8485;238;1978;156;t0208
dolnoœl¹skie;legnicki;472;12;0;0;t0209
dolnoœl¹skie;lubañski;1406;66;325;42;t0210
dolnoœl¹skie;lubiñski;6049;450;1572;141;t0211
dolnoœl¹skie;lwówecki;1610;30;517;12;t0212
dolnoœl¹skie;milicki;1554;9;261;1;t0213
dolnoœl¹skie;oleœnicki;2646;170;626;122;t0214
dolnoœl¹skie;o³awski;2665;168;607;92;t0215
dolnoœl¹skie;polkowicki;346;30;0;0;t0216
dolnoœl¹skie;strzeliñski;1196;24;110;0;t0217
dolnoœl¹skie;œredzki;613;6;0;0;t0218
dolnoœl¹skie;œwidnicki;5420;124;1681;102;t0219
dolnoœl¹skie;trzebnicki;3038;148;604;141;t0220
dolnoœl¹skie;wa³brzyski;1786;96;438;0;t0221
dolnoœl¹skie;wo³owski;1573;77;353;50;t0222
dolnoœl¹skie;wroc³awski;2062;35;0;0;t0223
dolnoœl¹skie;z¹bkowicki;2610;0;576;0;t0224
dolnoœl¹skie;zgorzelecki;4604;232;1607;76;t0225
dolnoœl¹skie;z³otoryjski;1183;18;427;0;t0226
dolnoœl¹skie;Jelenia Góra;4129;10;998;0;t0261
dolnoœl¹skie;Legnica;4440;152;1260;119;t0262
dolnoœl¹skie;Wroc³aw;60963;2073;21322;1429;t0264
dolnoœl¹skie;Wa³brzych;9992;524;2521;169;t0265
kujawsko-pomorskie;aleksandrowski;2762;67;587;24;t0401
kujawsko-pomorskie;brodnicki;2188;48;516;24;t0402
kujawsko-pomorskie;bydgoski;1218;0;0;0;t0403
kujawsko-pomorskie;che³miñski;1619;89;334;1;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;1240;24;411;0;t0405
kujawsko-pomorskie;grudzi¹dzki;533;0;85;0;t0406
kujawsko-pomorskie;inowroc³awski;5450;180;1529;150;t0407
kujawsko-pomorskie;lipnowski;2020;6;510;0;t0408
kujawsko-pomorskie;mogileñski;1025;66;200;38;t0409
kujawsko-pomorskie;nakielski;1390;35;345;35;t0410
kujawsko-pomorskie;radziejowski;1718;66;549;40;t0411
kujawsko-pomorskie;rypiñski;1095;0;307;0;t0412
kujawsko-pomorskie;sêpoleñski;1992;48;424;18;t0413
kujawsko-pomorskie;œwiecki;2768;48;448;29;t0414
kujawsko-pomorskie;toruñski;1689;78;340;0;t0415
kujawsko-pomorskie;tucholski;1188;0;344;0;t0416
kujawsko-pomorskie;w¹brzeski;962;42;164;0;t0417
kujawsko-pomorskie;w³oc³awski;1435;6;90;0;t0418
kujawsko-pomorskie;¿niñski;1890;42;438;42;t0419
kujawsko-pomorskie;Bydgoszcz;26582;579;8153;446;t0461
kujawsko-pomorskie;Grudzi¹dz;4813;0;1772;0;t0462
kujawsko-pomorskie;Toruñ;10693;467;3068;205;t0463
kujawsko-pomorskie;W³oc³awek;3808;60;766;60;t0464
lubelskie;bialski;2192;61;175;0;t0601
lubelskie;bi³gorajski;2526;66;385;56;t0602
lubelskie;che³mski;846;17;0;0;t0603
lubelskie;hrubieszowski;1925;78;476;41;t0604
lubelskie;janowski;2108;138;446;88;t0605
lubelskie;krasnostawski;2283;72;391;50;t0606
lubelskie;kraœnicki;2589;66;270;0;t0607
lubelskie;lubartowski;2347;137;390;136;t0608
lubelskie;lubelski;3144;115;439;21;t0609
lubelskie;³êczyñski;2210;6;602;0;t0610
lubelskie;³ukowski;2584;94;304;21;t0611
lubelskie;opolski;1730;13;426;7;t0612
lubelskie;parczewski;1810;156;521;88;t0613
lubelskie;pu³awski;6112;162;1955;65;t0614
lubelskie;radzyñski;2029;108;520;84;t0615
lubelskie;rycki;1725;36;286;36;t0616
lubelskie;œwidnicki;2075;42;259;24;t0617
lubelskie;tomaszowski;2622;120;494;102;t0618
lubelskie;w³odawski;1838;60;510;44;t0619
lubelskie;zamojski;2057;87;176;0;t0620
