wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;17059;4.45;579;112;467;20906;345333;63763;18247;43628;1888;t0000;2020-11-26
dolnoœl¹skie;boles³awiecki;44;4.89;1;0;1;70;1021;178;45;128;5;t0201;2020-11-26
dolnoœl¹skie;dzier¿oniowski;53;5.27;0;0;0;28;675;122;54;61;7;t0202;2020-11-26
dolnoœl¹skie;g³ogowski;48;5.4;1;1;0;55;1058;120;51;68;1;t0203;2020-11-26
dolnoœl¹skie;górowski;47;13.55;0;0;0;27;372;78;47;31;0;t0204;2020-11-26
dolnoœl¹skie;jaworski;8;1.6;0;0;0;46;397;55;11;42;2;t0205;2020-11-26
dolnoœl¹skie;jeleniogórski;20;3.16;1;0;1;26;422;76;25;48;3;t0206;2020-11-26
dolnoœl¹skie;kamiennogórski;26;6.04;0;0;0;8;219;57;26;30;1;t0207;2020-11-26
dolnoœl¹skie;k³odzki;62;3.94;26;0;26;47;1469;259;67;191;1;t0208;2020-11-26
dolnoœl¹skie;legnicki;46;8.33;0;0;0;24;518;143;50;84;9;t0209;2020-11-26
dolnoœl¹skie;lubañski;14;2.59;3;3;0;28;653;40;14;26;0;t0210;2020-11-26
dolnoœl¹skie;lubiñski;77;7.26;3;0;3;67;1019;235;82;153;0;t0211;2020-11-26
dolnoœl¹skie;lwówecki;2;0.44;0;0;0;26;296;33;2;30;1;t0212;2020-11-26
dolnoœl¹skie;milicki;21;5.69;0;0;0;17;417;56;22;33;1;t0213;2020-11-26
dolnoœl¹skie;oleœnicki;32;2.98;0;0;0;78;1377;120;33;82;5;t0214;2020-11-26
dolnoœl¹skie;o³awski;53;6.9;2;0;2;74;1312;155;58;93;4;t0215;2020-11-26
dolnoœl¹skie;polkowicki;18;2.85;0;0;0;29;770;68;18;49;1;t0216;2020-11-26
dolnoœl¹skie;strzeliñski;4;0.92;1;1;0;25;485;36;5;29;2;t0217;2020-11-26
dolnoœl¹skie;œredzki;19;3.43;1;0;1;47;600;61;22;36;3;t0218;2020-11-26
dolnoœl¹skie;œwidnicki;44;2.81;1;0;1;64;1425;181;48;124;9;t0219;2020-11-26
dolnoœl¹skie;trzebnicki;37;4.33;0;0;0;36;1019;142;42;95;5;t0220;2020-11-26
dolnoœl¹skie;wa³brzyski;18;3.25;0;0;0;18;476;52;19;33;0;t0221;2020-11-26
dolnoœl¹skie;wo³owski;26;5.56;0;0;0;28;783;61;28;32;1;t0222;2020-11-26
dolnoœl¹skie;wroc³awski;77;5.0;3;0;3;116;1556;291;79;207;5;t0223;2020-11-26
dolnoœl¹skie;z¹bkowicki;31;4.81;3;0;3;20;612;118;32;83;3;t0224;2020-11-26
dolnoœl¹skie;zgorzelecki;81;9.12;5;5;0;37;941;166;81;71;14;t0225;2020-11-26
dolnoœl¹skie;z³otoryjski;11;2.54;2;0;2;22;413;42;11;30;1;t0226;2020-11-26
dolnoœl¹skie;Jelenia Góra;23;2.92;0;0;0;32;709;101;23;76;2;t0261;2020-11-26
dolnoœl¹skie;Legnica;37;3.73;2;2;0;53;858;179;39;128;12;t0262;2020-11-26
dolnoœl¹skie;Wroc³aw;295;4.58;7;0;7;319;4132;1497;322;1141;34;t0264;2020-11-26
dolnoœl¹skie;Wa³brzych;45;4.07;3;0;3;40;954;247;47;200;0;t0265;2020-11-26
kujawsko-pomorskie;aleksandrowski;40;7.27;0;0;0;39;523;140;41;85;14;t0401;2020-11-26
kujawsko-pomorskie;brodnicki;52;6.57;0;0;0;65;695;140;56;75;9;t0402;2020-11-26
kujawsko-pomorskie;bydgoski;70;5.86;0;0;0;126;1342;241;75;148;18;t0403;2020-11-26
kujawsko-pomorskie;che³miñski;24;4.63;3;0;3;39;745;87;24;57;6;t0404;2020-11-26
kujawsko-pomorskie;golubsko-dobrzyñski;37;8.23;3;0;3;35;434;85;39;44;2;t0405;2020-11-26
kujawsko-pomorskie;grudzi¹dzki;20;4.97;0;0;0;22;495;55;21;32;2;t0406;2020-11-26
kujawsko-pomorskie;inowroc³awski;113;7.09;3;0;3;103;1581;249;117;129;3;t0407;2020-11-26
kujawsko-pomorskie;lipnowski;34;5.18;0;0;0;24;636;182;34;142;6;t0408;2020-11-26
kujawsko-pomorskie;mogileñski;36;7.91;0;0;0;26;523;82;36;39;7;t0409;2020-11-26
kujawsko-pomorskie;nakielski;59;6.84;0;0;0;77;1204;169;60;104;5;t0410;2020-11-26
kujawsko-pomorskie;radziejowski;29;7.21;2;0;2;24;497;74;30;43;1;t0411;2020-11-26
